State Phase Setting,Alice meas,Bob meas,Counts
a,Z+,Z+,34746
a,Z+,Z-,419
a,Z-,Z+,278
a,Z-,Z-,35326
a,X+,X+,854
a,X+,X-,34396
a,X-,X+,33958
a,X-,X-,851
a,Y+,Y+,34375
a,Y+,Y-,873
a,Y-,Y+,819
a,Y-,Y-,33977
b,Z+,Z+,34245
b,Z+,Z-,532
b,Z-,Z+,323
b,Z-,Z-,34968
b,X+,X+,2848
b,X+,X-,33420
b,X-,X+,32771
b,X-,X-,2248
b,Y+,Y+,34052
b,Y+,Y-,2447
b,Y-,Y+,2402
b,Y-,Y-,33006
c,Z+,Z+,35086
c,Z+,Z-,582
c,Z-,Z+,408
c,Z-,Z-,35321
c,X+,X+,10637
c,X+,X-,24975
c,X-,X+,24533
c,X-,X-,9534
c,Y+,Y+,26518
c,Y+,Y-,9755
c,Y-,Y+,9619
c,Y-,Y-,24610
d,Z+,Z+,34238
d,Z+,Z-,661
d,Z-,Z+,490
d,Z-,Z-,34838
d,X+,X+,20482
d,X+,X-,15096
d,X-,X+,14922
d,X-,X-,19945
d,Y+,Y+,16465
d,Y+,Y-,19960
d,Y-,Y+,19919
d,Y-,Y-,14820
e,Z+,Z+,33363
e,Z+,Z-,647
e,Z-,Z+,603
e,Z-,Z-,34889
e,X+,X+,29255
e,X+,X-,6161
e,X-,X+,6332
e,X-,X-,29202
e,Y+,Y+,6575
e,Y+,Y-,29438
e,Y-,Y+,29134
e,Y-,Y-,6247
f,Z+,Z+,32705
f,Z+,Z-,516
f,Z-,Z+,604
f,Z-,Z-,34013
f,X+,X+,33242
f,X+,X-,1067
f,X-,X+,1073
f,X-,X-,34581
f,Y+,Y+,751
f,Y+,Y-,34263
f,Y-,Y+,35215
f,Y-,Y-,834
